provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad
86,Santiago del Estero,M,0 a 17,1
86,Santiago del Estero,M,18 a 29,36
86,Santiago del Estero,M,30 a 39,24
86,Santiago del Estero,M,40 y mas,12
86,Santiago del Estero,X,18 a 29,6
86,Santiago del Estero,X,30 a 39,3
86,Santiago del Estero,X,40 y mas,2
94,Tierra del Fuego,F,0 a 17,2
94,Tierra del Fuego,F,18 a 29,9
94,Tierra del Fuego,F,30 a 39,10
94,Tierra del Fuego,F,40 y mas,14
94,Tierra del Fuego,M,0 a 17,6
94,Tierra del Fuego,M,18 a 29,53
94,Tierra del Fuego,M,30 a 39,13
94,Tierra del Fuego,M,40 y mas,4
94,Tierra del Fuego,X,0 a 17,1
94,Tierra del Fuego,X,18 a 29,14
94,Tierra del Fuego,X,30 a 39,5
94,Tierra del Fuego,X,40 y mas,1
90,Tucumán,F,0 a 17,1
90,Tucumán,F,18 a 29,96
90,Tucumán,F,30 a 39,156
90,Tucumán,F,40 y mas,194
90,Tucumán,M,0 a 17,3
90,Tucumán,M,18 a 29,116
90,Tucumán,M,30 a 39,65
90,Tucumán,M,40 y mas,27
90,Tucumán,X,18 a 29,16
90,Tucumán,X,30 a 39,14
90,Tucumán,X,40 y mas,10
