provincia_id,provincia_nombre,genero,anio_cambio,cantidad
30,Entre Ríos,M,2024,3
30,Entre Ríos,X,2024,5
34,Formosa,F,2012,13
34,Formosa,M,2012,2
34,Formosa,F,2013,10
34,Formosa,M,2013,1
34,Formosa,F,2014,7
34,Formosa,M,2014,2
34,Formosa,F,2015,10
34,Formosa,F,2016,8
34,Formosa,F,2017,9
34,Formosa,M,2017,3
34,Formosa,F,2018,10
34,Formosa,M,2018,4
34,Formosa,F,2019,5
34,Formosa,M,2019,2
34,Formosa,F,2020,9
34,Formosa,M,2020,1
34,Formosa,F,2021,13
34,Formosa,M,2021,5
34,Formosa,F,2022,11
34,Formosa,M,2022,8
34,Formosa,X,2022,1
34,Formosa,F,2023,10
34,Formosa,M,2023,6
34,Formosa,X,2023,3
34,Formosa,M,2024,1
38,Jujuy,F,2012,24
38,Jujuy,M,2012,3
38,Jujuy,F,2013,25
38,Jujuy,M,2013,4
38,Jujuy,F,2014,14
38,Jujuy,M,2014,2
38,Jujuy,F,2015,21
38,Jujuy,M,2015,4
38,Jujuy,F,2016,8
38,Jujuy,M,2016,4
38,Jujuy,F,2017,17
38,Jujuy,M,2017,4
38,Jujuy,F,2018,12
38,Jujuy,M,2018,6
38,Jujuy,F,2019,18
38,Jujuy,M,2019,15
38,Jujuy,F,2020,12
38,Jujuy,M,2020,9
38,Jujuy,F,2021,38
38,Jujuy,M,2021,21
38,Jujuy,X,2021,4
38,Jujuy,F,2022,23
38,Jujuy,M,2022,28
38,Jujuy,X,2022,4
38,Jujuy,F,2023,19
38,Jujuy,M,2023,16
38,Jujuy,X,2023,6
38,Jujuy,F,2024,1
38,Jujuy,X,2024,2
42,La Pampa,F,2012,26
42,La Pampa,M,2012,2
42,La Pampa,F,2013,6
42,La Pampa,M,2013,1
42,La Pampa,F,2014,5
42,La Pampa,M,2014,1
42,La Pampa,F,2015,9
42,La Pampa,M,2015,1
42,La Pampa,F,2016,1
42,La Pampa,F,2017,5
42,La Pampa,M,2017,1
42,La Pampa,F,2018,4
42,La Pampa,M,2018,3
42,La Pampa,F,2019,8
42,La Pampa,M,2019,6
42,La Pampa,F,2020,4
42,La Pampa,M,2020,6
42,La Pampa,F,2021,11
42,La Pampa,M,2021,11
42,La Pampa,X,2021,3
42,La Pampa,F,2022,4
42,La Pampa,M,2022,15
42,La Pampa,X,2022,2
42,La Pampa,F,2023,5
42,La Pampa,M,2023,17
42,La Pampa,X,2023,3
42,La Pampa,M,2024,1
46,La Rioja,F,2012,25
46,La Rioja,F,2013,23
46,La Rioja,M,2013,2
46,La Rioja,F,2014,5
